fen,cp
rn1qkb1r/p3pppp/1p2bn2/2p2P2/3pP1P1/2N5/PPPP2BP/R1BQK1NR w KQkq - 0 7,399
rn1qkb1r/p3pppp/1p2Pn2/2p5/3pP1P1/2N5/PPPP2BP/R1BQK1NR b KQkq - 0 7,-371
rn1qkb1r/p3pppp/1p2Pn2/2p5/4P1P1/2p5/PPPP2BP/R1BQK1NR w KQkq - 0 8,522
rn1qkb1r/p3pppp/1p2Pn2/2p5/4P1P1/2P5/P1PP2BP/R1BQK1NR b KQkq - 0 8,-329
r2qkb1r/p3pppp/1pn1Pn2/2p5/4P1P1/2P5/P1PP2BP/R1BQK1NR w KQkq - 1 9,440
r2qkb1r/p3pppp/1pn1Pn2/2p3P1/4P3/2P5/P1PP2BP/R1BQK1NR b KQkq - 0 9,-445
r2qkbnr/p3pppp/1pn1P3/2p3P1/4P3/2P5/P1PP2BP/R1BQK1NR w KQkq - 1 10,523
r2qkbnr/p3pppp/1pn1P3/2p1P1P1/8/2P5/P1PP2BP/R1BQK1NR b KQkq - 0 10,-533
r2qkbnr/p3pppp/1p2P3/2p1n1P1/8/2P5/P1PP2BP/R1BQK1NR w KQkq - 0 11,587
r2qkbnr/p3pppp/1p2P3/2p1n1P1/8/2P5/P1PPQ1BP/R1B1K1NR b KQkq - 1 11,-558
r2qkbnr/4pppp/1p2P3/p1p1n1P1/8/2P5/P1PPQ1BP/R1B1K1NR w KQkq - 0 12,899
r2qkbnr/3npppp/1p2P3/pQp3P1/8/2P5/P1PP2BP/R1B1K1NR w KQkq - 2 13,805
r3kbnr/3qpppp/1p6/pQp3P1/8/2P5/P1PP2BP/R1B1K1NR w KQkq - 0 14,877
r3kbnr/3qpppp/1pB5/pQp3P1/8/2P5/P1PP3P/R1B1K1NR b KQkq - 1 14,-840
4kbnr/r2qpppp/1pB5/pQp3P1/8/2P5/P1PP3P/R1B1K1NR w KQk - 2 15,839
4kbnr/r2qpppp/1pB5/pQp3P1/8/2P2N2/P1PP3P/R1B1K2R b KQk - 3 15,-812
4kbnr/r2qp1pp/1pB2p2/pQp3P1/8/2P2N2/P1PP3P/R1B1K2R w KQk - 0 16,798
4kbnr/r2qp1pp/1QB2p2/p1p3P1/8/2P2N2/P1PP3P/R1B1K2R b KQk - 0 16,-819
4kbnr/r2q2pp/1QB2p2/p1p1p1P1/8/2P2N2/P1PP3P/R1B1K2R w KQk - 0 17,835
4kbnr/r2q2pp/1QB2P2/p1p1p3/8/2P2N2/P1PP3P/R1B1K2R b KQk - 0 17,-789
4kbnr/r5pp/1Qq2P2/p1p1p3/8/2P2N2/P1PP3P/R1B1K2R w KQk - 0 18,944
3k1bnr/r5pp/2Q2P2/p1p1p3/8/2P2N2/P1PP3P/R1B1K2R w KQ - 1 19,978
3k1bnr/r5pp/2Q2P2/p1p1p3/8/2P2N2/P1PP3P/1RB1K2R b K - 2 19,-9990
3k1b1r/r5pp/2Q2n2/p1p1p3/8/2P2N2/P1PP3P/1RB1K2R w K - 0 20,9990
1R3b1r/r3k1pp/2Q2n2/p1p1p3/8/2P2N2/P1PP3P/2B1K2R w K - 2 21,9991
1R3b1r/r3k1pp/2Q2n2/p1p1p1N1/8/2P5/P1PP3P/2B1K2R b K - 3 21,-9996
1R3b1r/4k1pp/r1Q2n2/p1p1p1N1/8/2P5/P1PP3P/2B1K2R w K - 4 22,9997
5b1r/1R1nk1pp/r1Q5/p1p1p1N1/8/2P5/P1PP3P/2B1K2R w K - 6 23,9998
4kb1r/3R2pp/r1Q5/p1p1p1N1/8/2P5/P1PP3P/2B1K2R w K - 1 24,9999
rnb1kbnr/pppp1ppp/4p3/6q1/8/2N5/PPPPPP1P/R1BQKBNR b KQkq - 1 3,135
rnb1kbnr/pppp1ppp/4p3/8/6q1/2N5/PPPPPP1P/R1BQKBNR w KQkq - 2 4,-51
rnb1kbnr/pppp1ppp/4p3/8/4P1q1/2N5/PPPP1P1P/R1BQKBNR b KQkq - 0 4,137
rnb1kbnr/pppp1ppp/4p3/8/4P3/2N5/PPPP1P1P/R1BK1BNR b kq - 0 5,136
