fen,cp
4kbnr/r2qpppp/1pB5/pQp3P1/8/2P2N2/P1PP3P/R1B1K2R b KQk - 3 15,-861
4kbnr/r2qp1pp/1pB2p2/pQp3P1/8/2P2N2/P1PP3P/R1B1K2R w KQk - 0 16,843
4kbnr/r2qp1pp/1QB2p2/p1p3P1/8/2P2N2/P1PP3P/R1B1K2R b KQk - 0 16,-770
4kbnr/r2q2pp/1QB2p2/p1p1p1P1/8/2P2N2/P1PP3P/R1B1K2R w KQk - 0 17,809
4kbnr/r2q2pp/1QB2P2/p1p1p3/8/2P2N2/P1PP3P/R1B1K2R b KQk - 0 17,-720
4kbnr/r5pp/1Qq2P2/p1p1p3/8/2P2N2/P1PP3P/R1B1K2R w KQk - 0 18,870
3k1bnr/r5pp/2Q2P2/p1p1p3/8/2P2N2/P1PP3P/R1B1K2R w KQ - 1 19,870
3k1bnr/r5pp/2Q2P2/p1p1p3/8/2P2N2/P1PP3P/1RB1K2R b K - 2 19,-1015
3k1b1r/r5pp/2Q2n2/p1p1p3/8/2P2N2/P1PP3P/1RB1K2R w K - 0 20,1043
1R3b1r/r3k1pp/2Q2n2/p1p1p3/8/2P2N2/P1PP3P/2B1K2R w K - 2 21,1029
1R3b1r/r3k1pp/2Q2n2/p1p1p1N1/8/2P5/P1PP3P/2B1K2R b K - 3 21,-9996
1R3b1r/4k1pp/r1Q2n2/p1p1p1N1/8/2P5/P1PP3P/2B1K2R w K - 4 22,9997
5b1r/1R1nk1pp/r1Q5/p1p1p1N1/8/2P5/P1PP3P/2B1K2R w K - 6 23,9998
4kb1r/3R2pp/r1Q5/p1p1p1N1/8/2P5/P1PP3P/2B1K2R w K - 1 24,9999
rnb1kbnr/pppp1ppp/4p3/6q1/8/2N5/PPPPPP1P/R1BQKBNR b KQkq - 1 3,123
rnb1kbnr/pppp1ppp/4p3/8/6q1/2N5/PPPPPP1P/R1BQKBNR w KQkq - 2 4,-12
rnb1kbnr/pppp1ppp/4p3/8/4P1q1/2N5/PPPP1P1P/R1BQKBNR b KQkq - 0 4,123
rnb1kbnr/pppp1ppp/4p3/8/4P3/2N5/PPPP1P1P/R1BK1BNR b kq - 0 5,141
